cluster,wlthindf,latitude,longitude
572,-0.7855,25.00702,91.997617
573,-0.84161,25.143354,91.901473
574,-0.87791,25.085715,92.199491
575,-0.78131,25.005158,92.339589
576,-0.563635,24.966018,91.933113
577,0.41456,24.91107,91.892794
578,-0.589445,24.923085,92.414364
579,-0.8163050000000001,24.185341,91.532939
580,1.22062,24.38466,91.429147
581,-0.30645500000000003,24.565027,91.515306
582,-0.54029,24.23989,91.827445
583,2.03573,24.489672,91.773141
584,2.061735,25.042089,91.65705
585,-0.861725,24.797059,91.359934
586,-1.06123,24.646809,91.266203
587,0.02666,24.655898,91.811583
588,0.481565,25.108142,91.759021
589,-0.91797,25.092237,91.987213
590,0.94789,24.877437,92.362258
591,1.51661,24.911442,91.869113
592,1.750735,24.897754,91.860202
593,0.504405,24.922328,91.829026
594,0.99023,24.919887,91.833569
595,-0.06414,24.88221,91.860099
596,1.75748,24.900228,91.871489
597,1.59159,24.904567,91.887165
598,2.28159,24.886183,91.887103
599,-0.042325,24.893073,91.90695
600,1.242605,24.875934,91.895091
